id,genres,Movie_profit
135397,Action,1363528810.0
135397,Adventure,1363528810.0
135397,Science Fiction,1363528810.0
135397,Thriller,1363528810.0
76341,Action,228436354.0
76341,Adventure,228436354.0
76341,Science Fiction,228436354.0
76341,Thriller,228436354.0
262500,Adventure,185238201.0
262500,Science Fiction,185238201.0
262500,Thriller,185238201.0
140607,Action,1868178225.0
140607,Adventure,1868178225.0
140607,Science Fiction,1868178225.0
140607,Fantasy,1868178225.0
168259,Action,1316249360.0
168259,Crime,1316249360.0
168259,Thriller,1316249360.0
281957,Western,397950503.0
281957,Drama,397950503.0
281957,Adventure,397950503.0
281957,Thriller,397950503.0
87101,Science Fiction,285603537.0
87101,Action,285603537.0
87101,Thriller,285603537.0
87101,Adventure,285603537.0
286217,Drama,487380321.0
286217,Adventure,487380321.0
286217,Science Fiction,487380321.0
211672,Family,1082730962.0
211672,Animation,1082730962.0
211672,Adventure,1082730962.0
211672,Comedy,1082730962.0
150540,Comedy,678708609.0
150540,Animation,678708609.0
150540,Family,678708609.0
206647,Action,635674609.0
206647,Adventure,635674609.0
206647,Crime,635674609.0
76757,Science Fiction,7987720.0
76757,Fantasy,7987720.0
76757,Action,7987720.0
76757,Adventure,7987720.0
264660,Drama,21869414.0
264660,Science Fiction,21869414.0
257344,Action,155637091.0
257344,Comedy,155637091.0
257344,Science Fiction,155637091.0
99861,Action,1125035767.0
99861,Adventure,1125035767.0
99861,Science Fiction,1125035767.0
273248,Crime,111760117.0
273248,Drama,111760117.0
273248,Mystery,111760117.0
273248,Western,111760117.0
260346,Crime,277771424.0
260346,Action,277771424.0
260346,Thriller,277771424.0
102899,Science Fiction,388602163.0
102899,Action,388602163.0
102899,Adventure,388602163.0
150689,Romance,447351353.0
150689,Fantasy,447351353.0
150689,Family,447351353.0
150689,Drama,447351353.0
131634,War,490523427.0
131634,Adventure,490523427.0
131634,Science Fiction,490523427.0
158852,Action,19035668.0
158852,Family,19035668.0
158852,Science Fiction,19035668.0
158852,Adventure,19035668.0
158852,Mystery,19035668.0
307081,Action,61709827.0
307081,Drama,61709827.0
254128,Action,360490832.0
254128,Drama,360490832.0
254128,Thriller,360490832.0
216015,Drama,529651467.0
216015,Romance,529651467.0
318846,Comedy,105346506.0
318846,Drama,105346506.0
177677,Action,532330139.0
214756,Comedy,147863606.0
207703,Crime,322802136.0
207703,Comedy,322802136.0
207703,Action,322802136.0
207703,Adventure,322802136.0
314365,Drama,68346473.0
314365,Thriller,68346473.0
314365,History,68346473.0
294254,Action,250256926.0
294254,Science Fiction,250256926.0
294254,Thriller,250256926.0
198184,Crime,53069268.0
198184,Action,53069268.0
198184,Science Fiction,53069268.0
254470,Comedy,258506194.0
254470,Music,258506194.0
296098,Thriller,122610473.0
296098,Drama,122610473.0
257445,Adventure,92170815.0
257445,Horror,92170815.0
257445,Comedy,92170815.0
264644,Drama,29401758.0
264644,Thriller,29401758.0
105864,Adventure,156926147.0
105864,Animation,156926147.0
105864,Comedy,156926147.0
105864,Family,156926147.0
105864,Fantasy,156926147.0
241554,Action,21561644.0
241554,Crime,21561644.0
241554,Drama,21561644.0
241554,Mystery,21561644.0
241554,Thriller,21561644.0
167073,Drama,51076141.0
167073,Romance,51076141.0
277216,Drama,173634991.0
277216,Music,173634991.0
274854,Fantasy,50396650.0
274854,Action,50396650.0
274854,Adventure,50396650.0
321697,History,4441873.0
321697,Drama,4441873.0
203801,Comedy,33145109.0
203801,Action,33145109.0
203801,Adventure,33145109.0
293863,Fantasy,17629776.0
293863,Drama,17629776.0
293863,Romance,17629776.0
325348,Action,4333790.0
325348,Adventure,4333790.0
325348,Science Fiction,4333790.0
228161,Fantasy,233871007.0
228161,Comedy,233871007.0
228161,Animation,233871007.0
228161,Science Fiction,233871007.0
228161,Family,233871007.0
286565,Drama,73512300.0
286565,Mystery,73512300.0
286565,Romance,73512300.0
254320,Thriller,5064511.0
254320,Comedy,5064511.0
254320,Drama,5064511.0
254320,Romance,5064511.0
254320,Science Fiction,5064511.0
258480,Romance,28472135.0
258480,Drama,28472135.0
257211,Comedy,159564672.0
253412,Adventure,148427584.0
253412,Drama,148427584.0
274479,Comedy,41134059.0
274479,Drama,41134059.0
257088,Action,28718711.0
257088,Crime,28718711.0
