id,production_companies,Movie_profit
135397,Universal Studios,1363528810.0
135397,Amblin Entertainment,1363528810.0
135397,Legendary Pictures,1363528810.0
135397,Fuji Television Network,1363528810.0
135397,Dentsu,1363528810.0
76341,Village Roadshow Pictures,228436354.0
76341,Kennedy Miller Productions,228436354.0
262500,Summit Entertainment,185238201.0
262500,Mandeville Films,185238201.0
262500,Red Wagon Entertainment,185238201.0
262500,NeoReel,185238201.0
140607,Lucasfilm,1868178225.0
140607,Truenorth Productions,1868178225.0
140607,Bad Robot,1868178225.0
168259,Universal Pictures,1316249360.0
168259,Original Film,1316249360.0
168259,Media Rights Capital,1316249360.0
168259,Dentsu,1316249360.0
168259,One Race Films,1316249360.0
281957,Regency Enterprises,397950503.0
281957,Appian Way,397950503.0
281957,CatchPlay,397950503.0
281957,Anonymous Content,397950503.0
281957,New Regency Pictures,397950503.0
87101,Paramount Pictures,285603537.0
87101,Skydance Productions,285603537.0
286217,Twentieth Century Fox Film Corporation,487380321.0
286217,Scott Free Productions,487380321.0
286217,Mid Atlantic Films,487380321.0
286217,International Traders,487380321.0
286217,TSG Entertainment,487380321.0
211672,Universal Pictures,1082730962.0
211672,Illumination Entertainment,1082730962.0
150540,Walt Disney Pictures,678708609.0
150540,Pixar Animation Studios,678708609.0
150540,Walt Disney Studios Motion Pictures,678708609.0
206647,Columbia Pictures,635674609.0
206647,Danjaq,635674609.0
206647,B24,635674609.0
76757,Village Roadshow Pictures,7987720.0
76757,Dune Entertainment,7987720.0
76757,Anarchos Productions,7987720.0
76757,Warner Bros.,7987720.0
264660,DNA Films,21869414.0
264660,Universal Pictures International (UPI),21869414.0
264660,Film4,21869414.0
257344,Columbia Pictures,155637091.0
257344,Happy Madison Productions,155637091.0
99861,Marvel Studios,1125035767.0
99861,Prime Focus,1125035767.0
99861,Revolution Sun Studios,1125035767.0
273248,Double Feature Films,111760117.0
273248,The Weinstein Company,111760117.0
273248,FilmColony,111760117.0
260346,Twentieth Century Fox Film Corporation,277771424.0
260346,M6 Films,277771424.0
260346,Canal+,277771424.0
260346,EuropaCorp,277771424.0
260346,Cin̩+,277771424.0
102899,Marvel Studios,388602163.0
150689,Walt Disney Pictures,447351353.0
150689,Genre Films,447351353.0
150689,Beagle Pug Films,447351353.0
150689,Allison Shearmur Productions,447351353.0
131634,Studio Babelsberg,490523427.0
131634,StudioCanal,490523427.0
131634,Lionsgate,490523427.0
131634,Walt Disney Studios Motion Pictures,490523427.0
131634,Color Force,490523427.0
158852,Walt Disney Pictures,19035668.0
158852,Babieka,19035668.0
158852,A113,19035668.0
307081,Escape Artists,61709827.0
307081,Riche-Ludwig Productions,61709827.0
254128,New Line Cinema,360490832.0
254128,Village Roadshow Pictures,360490832.0
254128,Warner Bros.,360490832.0
254128,Flynn Picture Company,360490832.0
216015,Focus Features,529651467.0
216015,Trigger Street Productions,529651467.0
216015,Michael De Luca Productions,529651467.0
318846,Paramount Pictures,105346506.0
318846,Plan B Entertainment,105346506.0
318846,Regency Enterprises,105346506.0
177677,Paramount Pictures,532330139.0
177677,Skydance Productions,532330139.0
177677,China Movie Channel,532330139.0
177677,Bad Robot,532330139.0
177677,TC Productions,532330139.0
214756,Universal Pictures,147863606.0
214756,Media Rights Capital,147863606.0
214756,Fuzzy Door Productions,147863606.0
207703,Twentieth Century Fox Film Corporation,322802136.0
207703,Marv Films,322802136.0
207703,TSG Entertainment,322802136.0
