director,id,profit
Morten Tyldum,205596,219555708.0
Wes Ball,198663,314319861.0
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,194662,85215094.0
David Fincher,210577,308330363.0
David Ayer,228150,143817906.0
Shawn Levy,181533,222424282.0
Neil Burger,157350,203747895.0
Bryan Singer,127585,496000000.0
Luc Besson,240832,423360063.0
Jonathan Liebesman,98566,352200000.0
Jake Kasdan,225886,86069509.0
Dan Gilroy,242582,30197217.0
Michael Bay,91314,35500000.0
Wes Anderson,120467,144600318.0
Damien Chazelle,244786,10693093.0
Matt Reeves,119450,538200000.0
Antoine Fuqua,156022,137330738.0
Sean Anders,227159,64645357.0
Marc Webb,102382,505717432.0
Doug Liman,137113,192541256.0
Evan Goldberg,228967,-32694825.0
Seth Rogen,228967,-32694825.0
Clint Eastwood,190859,483507423.0
Ridley Scott,147441,128031828.0
Gareth Edwards,124905,369076069.0
Robert Stromberg,102651,578410378.0
Roger Donaldson,254904,17556119.0
Stiles White,242512,97529779.0
Dean DeBlois,82702,464123048.0
David Robert Mitchell,270303,11500000.0
Patrick Hughes,138103,116172544.0
Christopher Miller,137106,409160692.0
Phil Lord,137106,409160692.0
Sergey Bodrov,68737,19178613.0
James Marsh,266856,106201940.0
Luke Greenfield,193893,119621271.0
Gary Shore,49017,145529201.0
Eric Darnell,270946,241552094.0
Simon J. Smith,270946,241552094.0
Rob Marshall,224141,162902372.0
Noam Murro,53182,227580051.0
Phillip Noyce,227156,41980456.0
Christopher Miller,187017,138441614.0
Phil Lord,187017,138441614.0
Scott Frank,169917,25181600.0
Paul King,116149,204207227.0
Daniel Barnz,284276,-4639719.0
Jon Favreau,212778,34967935.0
James DeMonaco,238636,99782847.0
Vic Armstrong,218043,3682924.0
Richard Linklater,85350,40349000.0
J.C. Chandor,241239,-7992930.0
Brett Ratner,184315,143400000.0
Darren Aronofsky,86834,237637473.0
David Dobkin,205587,33719388.0
Frank Coraci,232672,83494610.0
Nicholas Stoller,195589,250157400.0
R.J. Cutler,249164,67874843.0
Trish Sie,243683,41165646.0
Josh Boone,222935,293151265.0
Tim Story,168530,128997819.0
Paul Thomas Anderson,171274,-8889025.0
Kenneth Branagh,137094,-9450893.0
Jaume Collet-Serra,225574,172809600.0
Michael Spierig,206487,-2500000.0
Peter Spierig,206487,-2500000.0
MichaÃ«l R. Roskam,154400,6058381.0
JosÃ© Padilha,97020,119379423.0
Wally Pfister,157353,3039258.0
Nick Cassavetes,193610,156781193.0
Rob Minkoff,82703,127912430.0
Frank Miller,189,-25592384.0
Robert Rodriguez,189,-25592384.0
Carlos Saldanha,172385,397188435.0
Bobby Farrelly,100042,129837010.0
Peter Farrelly,100042,129837010.0
George Clooney,152760,84984035.0
Angelina Jolie,227306,98442937.0
Ava DuVernay,273895,46787908.0
Xavier Dolan,265177,-1405930.0
Jean-Marc VallÃ©e,228970,37501541.0
Paul W.S. Anderson,76649,-12168369.0
Michael Hoffman,239571,9926213.0
Will Gluck,196867,68821816.0
Jorge R. Gutierrez,228326,47437106.0
Theodore Melfi,239563,41837234.0
Scott Waugh,136797,137277636.0
Lasse HallstrÃ¶m,228194,66880821.0
Anthony Stacchi,170687,48255770.0
Graham Annable,170687,48255770.0
Tim Burton,87093,18883511.0
Brian A Miller,241254,248586800.0
William Eubank,242095,-3399104.0
Steven Quale,216282,110602194.0
Roberts Gannaway,218836,101165787.0
David Ayer,144336,-17491482.0
Sam Miller,136835,40630415.0
Richard Glatzer,284293,36797583.0
Wash Westmoreland,284293,36797583.0
John Erick Dowdle,256274,35100000.0
Bennett Miller,87492,-11903700.0
Shana Feste,226857,14077920.0
David MichÃ´d,157845,-9954577.0
Tim Story,184098,46181428.0
Saul Dibb,271674,-5895284.0
Steven Brill,187596,-14940791.0
John R. Leonetti,250546,248773813.0
Stuart Beattie,100241,6154592.0
Tom Gormican,225565,18049082.0
Ivan Reitman,200505,1831145.0
Camille Delamarre,254473,40896829.0
Jennifer Kent,242224,4676471.0
Ben Falcone,226486,80525432.0
Akiva Goldsman,137321,-29199769.0
Adam Wingard,241848,-2632839.0
Russell Crowe,256917,-6979977.0
Eli Roth,171424,1833445.0
Miguel Arteta,218778,72654149.0
Shawn Levy,239678,21496320.0
Tommy Lee Jones,264656,-13570011.0
Jalmari Helander,230179,-1000000.0
Clint Eastwood,209451,27347013.0
Steve Pink,222899,36502684.0
Craig Gillespie,198185,13307627.0
Zach Braff,231576,-16701.0
Maya Forbes,244539,-5269345.0
Jonathan Glazer,97370,-7919749.0
Rob Thomas,177494,-2514873.0
Christopher Spencer,235260,45800064.0
Andrew Fleming,242042,-5984929.0
Jay Oliva,217993,1655325.0
Terry Gilliam,157834,-7729294.0
Thomas Carter,232679,15127963.0
Steven Bernstein,177047,-1951610.0
John Pogue,193612,17634867.0
Anton Corbijn,157849,16554855.0
GrÃ©gory Levasseur,282813,7365435.0
Olivier Assayas,246860,-5046000.0
Michael Cuesta,245916,-2549154.0
Leigh Janiak,254191,-990682.0
Steven Knight,210479,2635300.0
Charles Martin Smith,227735,16424533.0
Tom Harper,288158,25501323.0
James Bobin,145220,30383113.0
Kevin Smith,246403,-973295.0
Richard Loncraine,286521,-4979079.0
Randall Wallace,236751,89332962.0
Renny Harlin,188207,-8720548.0
Rob Reiner,253235,-4687613.0
Jeff Baena,244566,-2311727.0
Liv Ullmann,230266,-500000.0
Kate Barker-Froyland,244783,-5967749.0
Ana Lily Amirpour,252171,-605000.0
Clif Prowse,210947,-196821.0
Derek Lee,210947,-196821.0
Gina Prince-Bythewood,241771,7618727.0
Andrew Erwin,252680,5429707.0
Jon Erwin,252680,5429707.0
Dave Green,238603,32300000.0
Rupert Wyatt,284536,14171130.0
Don McKellar,209185,-9269982.0
David Gordon Green,157847,-1634533.0
Brian Horiuchi,270654,14500000.0
David Posamentier,157099,-4924857.0
Geoff Moore,157099,-4924857.0
Harold Cronk,249660,12789000.0
Matt Bettinelli-Olpin,79316,29433975.0
Tyler Gillett,79316,29433975.0
Israel Horovitz,282296,-986214.0
Claudia Llosa,251321,-7946914.0
Ben Kellett,262340,17100000.0
George Lucas,11,764398007.0
Lewis Gilbert,691,171438673.0
Art Stevens,11319,70015869.0
John Lounsbery,11319,70015869.0
Wolfgang Reitherman,11319,70015869.0
Woody Allen,703,34251425.0
Steven Spielberg,840,283788635.0
