production_companies,id,profit
Amblin Entertainment,135397,1363528810.0
Dentsu,135397,1363528810.0
Fuji Television Network,135397,1363528810.0
Legendary Pictures,135397,1363528810.0
Universal Studios,135397,1363528810.0
Kennedy Miller Productions,76341,228436354.0
Village Roadshow Pictures,76341,228436354.0
Mandeville Films,262500,185238201.0
NeoReel,262500,185238201.0
Red Wagon Entertainment,262500,185238201.0
Summit Entertainment,262500,185238201.0
Bad Robot,140607,1868178225.0
Lucasfilm,140607,1868178225.0
Truenorth Productions,140607,1868178225.0
Dentsu,168259,1316249360.0
Media Rights Capital,168259,1316249360.0
One Race Films,168259,1316249360.0
Original Film,168259,1316249360.0
Universal Pictures,168259,1316249360.0
Anonymous Content,281957,397950503.0
Appian Way,281957,397950503.0
CatchPlay,281957,397950503.0
New Regency Pictures,281957,397950503.0
Regency Enterprises,281957,397950503.0
Paramount Pictures,87101,285603537.0
Skydance Productions,87101,285603537.0
International Traders,286217,487380321.0
Mid Atlantic Films,286217,487380321.0
Scott Free Productions,286217,487380321.0
TSG Entertainment,286217,487380321.0
Twentieth Century Fox Film Corporation,286217,487380321.0
Illumination Entertainment,211672,1082730962.0
Universal Pictures,211672,1082730962.0
Pixar Animation Studios,150540,678708609.0
Walt Disney Pictures,150540,678708609.0
Walt Disney Studios Motion Pictures,150540,678708609.0
B24,206647,635674609.0
Columbia Pictures,206647,635674609.0
Danjaq,206647,635674609.0
Anarchos Productions,76757,7987720.0
Dune Entertainment,76757,7987720.0
Village Roadshow Pictures,76757,7987720.0
Warner Bros.,76757,7987720.0
DNA Films,264660,21869414.0
Film4,264660,21869414.0
Universal Pictures International (UPI),264660,21869414.0
Columbia Pictures,257344,155637091.0
Happy Madison Productions,257344,155637091.0
Marvel Studios,99861,1125035767.0
Prime Focus,99861,1125035767.0
Revolution Sun Studios,99861,1125035767.0
Double Feature Films,273248,111760117.0
FilmColony,273248,111760117.0
The Weinstein Company,273248,111760117.0
Canal+,260346,277771424.0
Cin̩+,260346,277771424.0
EuropaCorp,260346,277771424.0
M6 Films,260346,277771424.0
Twentieth Century Fox Film Corporation,260346,277771424.0
Marvel Studios,102899,388602163.0
Allison Shearmur Productions,150689,447351353.0
Beagle Pug Films,150689,447351353.0
Genre Films,150689,447351353.0
Walt Disney Pictures,150689,447351353.0
Color Force,131634,490523427.0
Lionsgate,131634,490523427.0
Studio Babelsberg,131634,490523427.0
StudioCanal,131634,490523427.0
Walt Disney Studios Motion Pictures,131634,490523427.0
A113,158852,19035668.0
Babieka,158852,19035668.0
Walt Disney Pictures,158852,19035668.0
Escape Artists,307081,61709827.0
Riche-Ludwig Productions,307081,61709827.0
Flynn Picture Company,254128,360490832.0
New Line Cinema,254128,360490832.0
Village Roadshow Pictures,254128,360490832.0
Warner Bros.,254128,360490832.0
Focus Features,216015,529651467.0
Michael De Luca Productions,216015,529651467.0
Trigger Street Productions,216015,529651467.0
Paramount Pictures,318846,105346506.0
Plan B Entertainment,318846,105346506.0
Regency Enterprises,318846,105346506.0
Bad Robot,177677,532330139.0
China Movie Channel,177677,532330139.0
Paramount Pictures,177677,532330139.0
Skydance Productions,177677,532330139.0
TC Productions,177677,532330139.0
Fuzzy Door Productions,214756,147863606.0
Media Rights Capital,214756,147863606.0
Universal Pictures,214756,147863606.0
Cloudy Productions,207703,322802136.0
Marv Films,207703,322802136.0
TSG Entertainment,207703,322802136.0
Twentieth Century Fox Film Corporation,207703,322802136.0
Anonymous Content,314365,68346473.0
Entertainment One Features,314365,68346473.0
Open Road Films,314365,68346473.0
Participant Media,314365,68346473.0
Rocklin / Faust,314365,68346473.0
Gotham Group,294254,250256926.0
TSG Entertainment,294254,250256926.0
Temple Hill Entertainment,294254,250256926.0
Alpha Core,198184,53069268.0
Columbia Pictures,198184,53069268.0
Genre Films,198184,53069268.0
Media Rights Capital,198184,53069268.0
Sony Pictures Entertainment (SPE),198184,53069268.0
Brownstone Productions,254470,258506194.0
